"filename", "language", "JavaScript", "TypeScript", "JSON", "Gemfile", "Ruby", "HTML", "Ignore", "Markdown", "Log", "CSS", "Docker", "YAML", "Shell Script", "comment", "blank", "total"
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/log/development.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -165460, 0, 0, 0, 0, 0, -42076, -207536
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/log/production.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, -459, 0, 0, 0, 0, 0, -1, -460
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/package-lock.json", "JSON", 0, 0, -32289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -32290
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/package.json", "JSON", 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -46
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/postcss.config.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/404.html", "HTML", 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, -1, -6, -68
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/422.html", "HTML", 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, -1, -6, -68
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/500.html", "HTML", 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -1, -6, -67
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/.sprockets-manifest-bab345dee79f5522ef61f38334edcf9c.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/actioncable-5433453f9b6619a9de91aaab2d7fc7ff183e5260c0107cbc9a1aa0c838d9a74e.js", "JavaScript", -484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -490
